id_classe_equivalencia,k_frequencia,1.i.1_uf_onde_mora,2.i_tempo_de_experiencia_em_dados,2.j_tempo_de_experiencia_em_ti,1.l_nivel_de_ensino,1.m_área_de_formação,1.b_genero,2.b_setor,2.c_numero_de_funcionarios,2.f_cargo_atual,2.h_faixa_salarial
1,1,AL,Mais de 10 anos,de 1 a 2 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Feminino,Tecnologia/Fábrica de Software,de 1.001 a 3.000,Analytics Engineer,de R$ 12.001/mês a R$ 16.000/mês
2,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Área de Consultoria,de 51 a 100,Cientista de Dados/Data Scientist,de R$ 8.001/mês a R$ 12.000/mês
3,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Mestrado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Feminino,Tecnologia/Fábrica de Software,de 101 a 500,Analista de BI/BI Analyst,de R$ 2.001/mês a R$ 3.000/mês
4,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Mestrado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Feminino,Área da Saúde,Acima de 3.000,Analista de Dados/Data Analyst,de R$ 4.001/mês a R$ 6.000/mês
5,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Finanças ou Bancos,Acima de 3.000,Cientista de Dados/Data Scientist,de R$ 12.001/mês a R$ 16.000/mês
6,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Feminino,Educação,Acima de 3.000,Outra Opção,de R$ 6.001/mês a R$ 8.000/mês
7,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Feminino,Finanças ou Bancos,Acima de 3.000,Engenheiro de Dados/Data Engineer/Data Architect,de R$ 8.001/mês a R$ 12.000/mês
8,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Mestrado,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Outra Opção,de 1.001 a 3.000,Analista de Negócios/Business Analyst,de R$ 8.001/mês a R$ 12.000/mês
9,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Mestrado,Química / Física,Masculino,Finanças ou Bancos,Acima de 3.000,Cientista de Dados/Data Scientist,de R$ 8.001/mês a R$ 12.000/mês
10,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Feminino,Educação,Acima de 3.000,Analista de Dados/Data Analyst,de R$ 2.001/mês a R$ 3.000/mês
11,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Masculino,Agronegócios,Acima de 3.000,Analista de Dados/Data Analyst,de R$ 8.001/mês a R$ 12.000/mês
12,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Masculino,Área da Saúde,de 501 a 1.000,Cientista de Dados/Data Scientist,de R$ 8.001/mês a R$ 12.000/mês
13,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Feminino,Indústria,Acima de 3.000,Analista de Negócios/Business Analyst,de R$ 8.001/mês a R$ 12.000/mês
14,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo / Ciências Sociais,Feminino,Setor Automotivo,de 11 a 50,Outra Opção,de R$ 4.001/mês a R$ 6.000/mês
15,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo / Ciências Sociais,Masculino,Tecnologia/Fábrica de Software,de 6 a 10,Outra Opção,de R$ 2.001/mês a R$ 3.000/mês
16,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Outra opção,Feminino,Varejo,de 101 a 500,Analista de BI/BI Analyst,de R$ 4.001/mês a R$ 6.000/mês
17,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Outra opção,Masculino,Telecomunicação,Acima de 3.000,Analista de BI/BI Analyst,de R$ 4.001/mês a R$ 6.000/mês
18,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),Feminino,Tecnologia/Fábrica de Software,de 101 a 500,Outra Opção,de R$ 1.001/mês a R$ 2.000/mês
19,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Indústria,de 1.001 a 3.000,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),de R$ 8.001/mês a R$ 12.000/mês
20,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Química / Física,Masculino,Área de Consultoria,Acima de 3.000,Cientista de Dados/Data Scientist,de R$ 3.001/mês a R$ 4.000/mês
21,1,SP,Menos de 1 ano,de 1 a 2 anos,Doutorado ou Phd,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Feminino,Outra Opção,de 501 a 1.000,Engenheiro de Machine Learning/ML Engineer/AI Engineer,de R$ 1.001/mês a R$ 2.000/mês
22,1,SP,Menos de 1 ano,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Feminino,Indústria,Acima de 3.000,Analista de BI/BI Analyst,de R$ 1.001/mês a R$ 2.000/mês
23,1,SP,Menos de 1 ano,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Feminino,Varejo,Acima de 3.000,Engenheiro de Dados/Data Engineer/Data Architect,de R$ 1.001/mês a R$ 2.000/mês
24,1,SP,Menos de 1 ano,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Finanças ou Bancos,de 11 a 50,Analista de Dados/Data Analyst,de R$ 3.001/mês a R$ 4.000/mês
25,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Telecomunicação,de 51 a 100,Analista de Dados/Data Analyst,de R$ 4.001/mês a R$ 6.000/mês
26,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Marketing,de 1 a 5,Outras Engenharias (não inclui dev),de R$ 4.001/mês a R$ 6.000/mês
27,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Finanças ou Bancos,de 11 a 50,Analista de Negócios/Business Analyst,de R$ 8.001/mês a R$ 12.000/mês
28,1,SP,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Graduação/Bacharelado,Outra opção,Masculino,Área de Consultoria,de 51 a 100,Outra Opção,de R$ 4.001/mês a R$ 6.000/mês
