token,data/hora_envio,idade,genero,cor/raca/etnia,pcd,uf_onde_mora,regiao_onde_mora,uf_de_origem,regiao_de_origem,vive_no_brasil,pais_onde_mora,estado_onde_mora,estado_de_origem,nivel_de_ensino,area_de_formação,situação_de_trabalho,setor,numero_de_funcionarios,atua_como_gestor,cargo_como_gestor,cargo_atual,nivel,tempo_de_experiencia_em_dados,tempo_de_experiencia_em_ti,linguagem_de_programacao_(dia_a_dia),linguagem_mais_usada,linguagem_preferida,banco_de_dados_(dia_a_dia),cloud_(dia_a_dia),cloud_preferida,ferramenta_de_bi_(dia_a_dia)
reb94rv0msth7q4nreb94riaq80iz3yi,16/10/2024 11:19:17,18,Masculino,Branca,Não,RS,Sul,,,True,,Rio Grande do Sul (RS),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Marketing,de 101 a 500,False,,Analista de Dados/Data Analyst,Júnior,de 1 a 2 anos,de 1 a 2 anos,"Python, JavaScript, SQL",Python,Python,Google BigQuery,Servidores On Premise/Não utilizamos Cloud,Amazon Web Services (AWS),"Fazemos todas as análises utilizando apenas Excel ou planilhas do google, Microsoft PowerBI"
1zc66g69jjt49y32l1zc66g8wqj79m4e,16/10/2024 20:45:31,18,Masculino,Branca,Não,SC,Sul,PR,Sul,True,,Santa Catarina (SC),Paraná (PR),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Finanças ou Bancos,Acima de 3.000,False,,Analista de BI/BI Analyst,Júnior,Menos de 1 ano,Menos de 1 ano,Python,Python,Python,Databricks,Azure (Microsoft),Azure (Microsoft),Microsoft PowerBI
uu99wmam4n5kc2uu99wmydf0rk7l58f7,17/10/2024 18:10:59,18,Masculino,Parda,Não,SP,Sudeste,,,True,,São Paulo (SP),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Indústria,de 501 a 1.000,False,,Outra Opção,Júnior,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Não utilizo linguagem de programação no trabalho,,,"MySQL, CoachDB",Google Cloud (GCP),Amazon Web Services (AWS),Redash
3ynsw7z0hl5hhpbfvaeqk73ynsw7z04l,22/10/2024 18:03:00,18,Masculino,Branca,Não,SP,Sudeste,,,True,,São Paulo (SP),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Tecnologia/Fábrica de Software,de 501 a 1.000,False,,Analista de Dados/Data Analyst,Júnior,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,SQL,SQL,SQL,"Snowflake, PostgreSQL",Amazon Web Services (AWS),Amazon Web Services (AWS),"Metabase, Microsoft PowerBI, Grafana"
v6bji2ct5xckpl1uouv6bjiotkrf3b4f,23/10/2024 01:33:23,18,Masculino,Branca,Não,SP,Sudeste,,,True,,São Paulo (SP),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Tecnologia/Fábrica de Software,de 1.001 a 3.000,False,,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,Menos de 1 ano,Menos de 1 ano,"SQL, JavaScript",JavaScript,Python,MySQL,Azure (Microsoft),Amazon Web Services (AWS),Não utilizo nenhuma ferramenta de BI no trabalho
jct4toasj61rygexnyug3zjct4toascu,25/10/2024 12:02:06,18,Masculino,Parda,Não,DF,Centro-oeste,,,True,,Distrito Federal (DF),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),,,,,,,,,,,,,,,
vcvc4otfqznwludyp3mvcvc8euvs299t,12/11/2024 19:45:44,18,Masculino,Parda,Sim,SP,Sudeste,,,True,,São Paulo (SP),,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Telecomunicação,de 6 a 10,False,,Analista de BI/BI Analyst,Júnior,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python",C/C++/C#,C/C++/C#,Presto,IBM,Azure (Microsoft),Looker Studio (antigo Google Data Studio)
7o0jgas7pedzh1dr17o0jgzt0irkbqo6,21/11/2024 05:13:09,18,Masculino,Parda,Não,SP,Sudeste,,,True,,São Paulo (SP),,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Estagiário,Outra Opção,de 101 a 500,False,,Outra Opção,Júnior,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,,,,,
gmkbjmsg8fzfqljgmkbjmkr5zfkex28o,09/12/2024 12:16:43,18,Masculino,Parda,Não,MA,Nordeste,,,True,,Maranhão (MA),,Não tenho graduação formal,,Estagiário,Outra Opção,de 6 a 10,False,,Outra Opção,Júnior,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,,,,,
vwsjeyi7044yittt3zdwvwsjefc53s6y,09/12/2024 14:03:12,18,Masculino,Parda,Não,SP,Sudeste,,,True,,São Paulo (SP),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,de 11 a 50,False,,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,Não tenho experiência na área de dados,de 3 a 4 anos,"SQL, JavaScript",JavaScript,Python,"SQL SERVER, MongoDB, Elasticsearch, Firebase","Amazon Web Services (AWS), Servidores On Premise/Não utilizamos Cloud",Google Cloud (GCP),Microsoft PowerBI
ajp1y2v2yyy3nziajp1y2etva51yennp,12/12/2024 17:28:30,18,Masculino,Preta,Não,BA,Nordeste,,,True,,Bahia (BA),,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Somente Estudante (graduação),,,,,,,,,,,,,,,
f9u5p4qeft8la1sfs73yf9u59s9rm8s2,13/12/2024 16:23:23,18,Masculino,Branca,Não,MG,Sudeste,,,True,,Minas Gerais (MG),,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Setor Público,de 11 a 50,False,,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,Menos de 1 ano,Menos de 1 ano,"SQL, Python",SQL,C/C++/C#,"PostgreSQL, Google Firestore, Google BigQuery",Cloud Própria,Não sei opinar / Não tenho preferência,Microsoft PowerBI
umy2z6r1n1ty8tsu2umy2le4i0maho1z,15/12/2024 02:47:57,18,Masculino,Branca,Não,SP,Sudeste,,,True,,São Paulo (SP),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Área da Saúde,Acima de 3.000,False,,Outra Opção,Júnior,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,,,,,
6lvxue97fx62df0qb6lvxu7atzxs2ehl,14/10/2024 10:48:26,19,Masculino,Branca,Não,SC,Sul,,,True,,Santa Catarina (SC),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Área de Consultoria,de 501 a 1.000,False,,Engenheiro de Dados/Data Engineer/Data Architect,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python",Python,Python,"Google BigQuery, SAP HANA, Oracle, MongoDB",Google Cloud (GCP),Google Cloud (GCP),"Microsoft PowerBI, Looker, Looker Studio (antigo Google Data Studio)"
dgp4ya24lwvrfedwdgp4yakcm0490mxx,14/10/2024 14:51:35,19,Masculino,Preta,Não,SP,Sudeste,,,True,,São Paulo (SP),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Varejo,Acima de 3.000,False,,Analytics Engineer,Júnior,Menos de 1 ano,Menos de 1 ano,"SQL, Python",Python,Python,MySQL,Google Cloud (GCP),Não sei opinar / Não tenho preferência,"Looker Studio (antigo Google Data Studio), Looker"
qlirs7btxom1i11ytqlijz5bmfysb9vg,14/10/2024 16:49:44,19,Feminino,Branca,Não,PR,Sul,,,True,,Paraná (PR),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Telecomunicação,de 1.001 a 3.000,False,,Engenheiro de Dados/Data Engineer/Data Architect,Júnior,de 1 a 2 anos,de 3 a 4 anos,"Python, SQL",SQL,Python,"PostgreSQL, Databricks, Oracle","Oracle Cloud, Azure (Microsoft), Servidores On Premise/Não utilizamos Cloud",Azure (Microsoft),"Grafana, Microsoft PowerBI"
bj45hcupd35y3gwckh7hbj45hcusjhnl,15/10/2024 14:01:03,19,Masculino,Parda,Não,MG,Sudeste,,,True,,Minas Gerais (MG),,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Trabalho na área Acadêmica/Pesquisador,,,,,,,,,,,,,,,
0h4merg7kwzo0j568v0h4mersxb83vjc,16/10/2024 12:07:10,19,Masculino,Branca,Não,SP,Sudeste,,,True,,São Paulo (SP),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Marketing,de 1 a 5,False,,Analista de Negócios/Business Analyst,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python",SQL,Python,MySQL,Google Cloud (GCP),Não sei opinar / Não tenho preferência,"Microsoft PowerBI, Looker Studio (antigo Google Data Studio)"
g72s1spv0gcds1akdfrytrg72s1spjjb,16/10/2024 13:56:54,19,Masculino,Branca,Não,MT,Centro-oeste,,,True,,Mato Grosso (MT),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Marketing,de 101 a 500,False,,Analista de BI/BI Analyst,Júnior,de 1 a 2 anos,Menos de 1 ano,SQL,SQL,Python,"Google BigQuery, PostgreSQL","Google Cloud (GCP), Digital Ocean",Google Cloud (GCP),"Metabase, Looker, Microsoft PowerBI"
u574uiyapkvrhozk5eku574uiyainz9v,16/10/2024 14:35:14,19,Masculino,Branca,Não,SP,Sudeste,SP,Sudeste,True,,São Paulo (SP),São Paulo (SP),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Entretenimento ou Esportes,Acima de 3.000,False,,Outra Opção,Júnior,Menos de 1 ano,Menos de 1 ano,Não utilizo linguagem de programação no trabalho,,,Google BigQuery,Oracle Cloud,Amazon Web Services (AWS),Qlik View/Qlik Sense
650rnxzxbzjxxsmtk650rnxzd5qdoqwy,16/10/2024 20:51:00,19,Masculino,Parda,Não,GO,Centro-oeste,,,True,,Goiás (GO),,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,False,,Analista de Negócios/Business Analyst,Pleno,de 1 a 2 anos,de 3 a 4 anos,"Python, SQL, Visual Basic/VBA",Visual Basic/VBA,Python,Oracle,Oracle Cloud,Não sei opinar / Não tenho preferência,Microsoft PowerBI
t15okkgf7aekvsit15s9yrf5ohmkvawi,17/10/2024 06:27:08,19,Feminino,Branca,Não,SP,Sudeste,,,True,,São Paulo (SP),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),,,,,,,,,,,,,,,
nmmtdpyxnilwe8oshiinmmtdpyummc41,17/10/2024 10:48:40,19,Masculino,Branca,Não,RS,Sul,,,True,,Rio Grande do Sul (RS),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Indústria,Acima de 3.000,False,,Analista de BI/BI Analyst,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python",SQL,Python,"Oracle, PostgreSQL",Servidores On Premise/Não utilizamos Cloud,Não sei opinar / Não tenho preferência,Microsoft PowerBI
x1sktyr4i150mibrhxcux1skt2t8jl4f,17/10/2024 12:56:54,19,Masculino,Branca,Não,SP,Sudeste,,,True,,São Paulo (SP),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Outra Opção,de 51 a 100,False,,Outra Opção,Júnior,Não tenho experiência na área de dados,de 1 a 2 anos,,,,,,,
4quz8z0v5vwwz2iia4quz97sg5fr0you,21/10/2024 12:57:35,19,Masculino,Branca,Não,MG,Sudeste,,,True,,Minas Gerais (MG),,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Somente Estudante (graduação),,,,,,,,,,,,,,,
vll27ya273djg6vll2082tgfxvpybv82,22/10/2024 11:44:47,19,Masculino,Branca,Não,DF,Centro-oeste,GO,Centro-oeste,True,,Distrito Federal (DF),Goiás (GO),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),,,,,,,,,,,,,,,
6b0uy326ywo4e9rq51lj6b0uy326u8v5,22/10/2024 11:45:51,19,Feminino,Branca,Não,DF,Centro-oeste,SP,Sudeste,True,,Distrito Federal (DF),São Paulo (SP),Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Somente Estudante (graduação),,,,,,,,,,,,,,,
qt6mof1et6jbrxwhxilvqt6mof1ujiue,22/10/2024 11:46:57,19,Masculino,Branca,Sim,DF,Centro-oeste,SP,Sudeste,True,,Distrito Federal (DF),São Paulo (SP),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),,,,,,,,,,,,,,,
uue8fwcmap0n104nluue8mcu6tadu6e7,22/10/2024 11:55:32,19,Masculino,Branca,Não,DF,Centro-oeste,,,True,,Distrito Federal (DF),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Tecnologia/Fábrica de Software,de 101 a 500,False,,Analista de Dados/Data Analyst,Júnior,de 1 a 2 anos,de 3 a 4 anos,"SQL, Python",Python,Python,"SQLite, MySQL, PostgreSQL",Amazon Web Services (AWS),Amazon Web Services (AWS),Outra opção
q13fewozjcb7kb4mtqq13feh6xq2hs2z,22/10/2024 11:56:26,19,Masculino,Branca,Não,DF,Centro-oeste,GO,Centro-oeste,True,,Distrito Federal (DF),Goiás (GO),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Área da Saúde,de 1.001 a 3.000,False,,Analista de BI/BI Analyst,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python",SQL,Python,Oracle,Oracle Cloud,Não sei opinar / Não tenho preferência,Outra opção
jrwjq4ryrap990q80jrwjqizv8439do4,23/10/2024 01:54:32,19,Feminino,Parda,Não,SP,Sudeste,,,True,,São Paulo (SP),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Tecnologia/Fábrica de Software,Acima de 3.000,False,,Engenheiro de Dados/Data Engineer/Data Architect,Júnior,Menos de 1 ano,Menos de 1 ano,"SQL, Python",Python,Python,"Amazon Aurora ou RDS, Amazon Athena, MySQL",Amazon Web Services (AWS),Amazon Web Services (AWS),Amazon Quicksight
gm8gwyni9s0eamvjkppgm8gwynkbvf0v,23/10/2024 11:45:28,19,Masculino,Branca,Não,DF,Centro-oeste,,,True,,Distrito Federal (DF),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Setor Automotivo,de 6 a 10,True,Gerente/Head,,,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,,,,,
8k6ja9qln1f278k6jkxnvglw1ldg4k95,23/10/2024 23:12:29,19,Masculino,Parda,Não,SP,Sudeste,,,True,,São Paulo (SP),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),,,,,,,,,,,,,,,
wes849iavpfnuo1mbsnvwes8497hh7xk,25/10/2024 12:01:11,19,Masculino,Branca,Não,DF,Centro-oeste,,,True,,Distrito Federal (DF),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),,,,,,,,,,,,,,,
a0leudhajplamm1lvo1i1za0leudz2mj,25/10/2024 12:01:14,19,Masculino,Parda,Não,DF,Centro-oeste,,,True,,Distrito Federal (DF),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),,,,,,,,,,,,,,,
g9g8m15tnphqix41921g9g8m15ytx59v,25/10/2024 12:01:55,19,Masculino,Parda,Não,DF,Centro-oeste,,,True,,Distrito Federal (DF),,Prefiro não informar,,Somente Estudante (graduação),,,,,,,,,,,,,,,
6l616sb1fx4b797e5bd87h6l616sm0xs,25/10/2024 12:04:50,19,Masculino,Outra,Não,DF,Centro-oeste,,,True,,Distrito Federal (DF),,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Tecnologia/Fábrica de Software,de 101 a 500,False,,Outra Opção,Júnior,de 1 a 2 anos,de 1 a 2 anos,"SQL, R, Python",SQL,Python,"PostgreSQL, SQL SERVER",Cloud Própria,Google Cloud (GCP),Microsoft PowerBI
z77px238ozm3f32cpyswykz77px23ztf,29/10/2024 12:36:34,19,Masculino,Branca,Não,DF,Centro-oeste,,,True,,Distrito Federal (DF),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Setor Imobiliário/ Construção Civil,de 6 a 10,False,,Outra Opção,Júnior,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,,,,,
7v48by2r1cafeq0g7v4ew0slx6obelxe,30/10/2024 17:07:39,19,Feminino,Parda,Não,MG,Sudeste,,,True,,Minas Gerais (MG),,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Outra Opção,de 501 a 1.000,False,,Analista de Dados/Data Analyst,Júnior,de 3 a 4 anos,de 1 a 2 anos,"SQL, Python, Visual Basic/VBA, PHP",Python,SQL,"PostgreSQL, MongoDB, SQL SERVER, Microsoft Access, Oracle","Amazon Web Services (AWS), Cloud Própria, Oracle Cloud",Google Cloud (GCP),"Metabase, Looker Studio (antigo Google Data Studio), Microsoft PowerBI, Pentaho"
troi693sx8su9znftroi60o4zlj4wfz3,01/11/2024 08:20:05,19,Masculino,Branca,Não,MG,Sudeste,,,True,,Minas Gerais (MG),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,"Desempregado, buscando recolocação",,,,,,,,,,,,,,,
